marketing_year,quarter_period,beginning_stocks,production,imports,total_supply,industrial_use,seed_use,feed_residual,total_domestic_use,exports,total_use,ending_stocks
2016/17,Q4 June-August,5229.082,0,13.661,5242.743,1741.428,2.052,684.395,2427.875,521.565,2949.44,2293.303
2016/17,MY September-August,1737.058,15148.038,57.068,16942.164,6855.919,29.304,5467.95,12353.173,2295.688,14648.861,2293.303
2017/18,Q1 September-November,2293.303,14609.407,10.791,16913.501,1742.738,0,2255.702,3998.44,348.56,4347,12566.501
2017/18,Q2 December-February,12566.501,0,8.364,12574.865,1738.772,0,1497.382,3236.154,446.585,3682.739,8892.126
2017/18,Q3 March-May,8892.126,0,7.586,8899.712,1753.353,28.054,951.411,2732.818,862.09,3594.908,5304.804
2017/18,Q4 June-August,5304.804,0,9.272,5314.076,1792.282,1.477,600.103,2393.862,779.879,3173.741,2140.335
2017/18,MY September-August,2293.303,14609.407,36.013,16938.723,7027.145,29.531,5304.598,12361.274,2437.114,14798.388,2140.335
2018/19,Q1 September-November,2140.335,14321.674,6.163,16468.172,1710.327,0,1839.249,3549.576,632.088,4181.664,12286.508
2018/19,Q2 December-February,12286.508,0,8.702,12295.21,1641.603,0,1318.571,2960.174,499.701,3459.875,8835.335
2018/19,Q3 March-May,8835.335,0,6.353,8841.688,1694.01,18.521,1179.37,2891.901,586.252,3478.153,5363.535
2018/19,Q4 June-August,5363.535,0,6.741,5370.276,1717.63,10.418,1054.919,2782.967,350.301,3133.268,2237.008
2018/19,MY September-August,2140.335,14321.674,27.959,16489.968,6763.57,28.939,5392.109,12184.618,2068.342,14252.96,2237.008
2019/20,Q1 September-November,2237.008,13568.306,17.949,15823.263,1628.004,0,2104.051,3732.055,270.886,4002.941,11820.322
2019/20,Q2 December-February,11820.322,0,8.92,11829.242,1713.354,0,1463.011,3176.365,353.496,3529.861,8299.381
2019/20,Q3 March-May,8299.381,0,9.465,8308.846,1332.965,27.693,1107.286,2467.944,603.712,3071.656,5237.19
2019/20,Q4 June-August,5237.19,0,5.551,5242.741,1581.89,2.084,1104.031,2688.005,550.382,3238.387,2004.354
2019/20,MY September-August,2237.008,13568.306,41.885,15847.199,6256.213,29.777,5778.379,12064.369,1778.476,13842.845,2004.354
2020/21,Q1 September-November,2004.354,14086.699,5.75,16096.803,1612.427,0,2218.541,3830.968,448.85,4279.818,11816.985
2020/21,Q2 December-February,11816.985,0,5.438,11822.423,1508.726,0,1832.438,3341.164,674.481,4015.645,7806.778
2020/21,Q3 March-May,7806.778,0,7.06,7813.838,1644.808,29.364,999.688,2673.86,1028.797,3702.657,4111.181
2020/21,Q4 June-August,4111.181,0,5.985,4117.166,1669.891,1.223,616.731,2287.845,594.809,2882.654,1234.512
2020/21,MY September-August,2004.354,14086.699,24.233,16115.286,6435.852,30.587,5667.398,12133.837,2746.937,14880.774,1234.512
2022/23,Q1 September-November,1376.89,13650.531,5.866,15033.287,1626.828,0,2310.291,3937.119,282.961,4220.08,10813.207
